name,ring,quadrant,isNew,description
Aurora PostgreSQL,Mature,aws,FALSE,Aurora PostgreSQL
Azure MySQL (PaaS),Mature,Azure,FALSE,Azure MySQL (PaaS)
Azure Redis (PaaS) Cache,Mature,Azure,FALSE,Azure Redis (PaaS) Cache
AWS Elasticache,Lab,AWS,FALSE,AWS Elasticache
TFS,Mature,Tools,FALSE,TFS
Spinnaker,Lab,Tools,FALSE,Spinnaker
Rundeck,Lab,Tools,FALSE,Rundeck
Jenkins,Mature,Tools,FALSE,Jenkins
Nagios,Mature,Tools,FALSE,Nagios
Symantec Endpoint Protection/Broadcom,Lab,Tools,FALSE,Symantec Endpoint Protection/Broadcom
Prometheus,Mature,Tools,FALSE,Prometheus
Kibana,Mature,Tools,FALSE,Kibana
Grafana,Mature,Tools,FALSE,Grafana
FluentD,Lab,Tools,FALSE,FluentD
Icinga,Lab,Tools,FALSE,Icinga
Bitbucket,Lab,Tools,FALSE,Bitbucket
Edge computing resources,Mature,AWS,FALSE,Edge computing resources
Storage Gateway,Mature,AWS,FALSE,Storage Gateway
DynamoDB,Lab,Platforms,FALSE,DynamoDB
MongoDB,Lab,Platforms,FALSE,MongoDB
Cosmos,Lab,Azure,FALSE,Cosmos
DocumentDB,Lab,Platforms,FALSE,DocumentDB
Hyper - V ,Expert,Platforms,FALSE,Hyper - V 
VMWare,Expert,Platforms,FALSE,VMWare
AppDynamics,Lab,Tools,FALSE,AppDynamics
GCP,Lab,Platforms,FALSE,GCP
SourceForge,Lab,Tools,FALSE,SourceForge
Google Cloud Source Repositories,Lab,Platforms,FALSE,Google Cloud Source Repositories
Serverless Workflow ,Mature,Tools,FALSE,Serverless Workflow 
Amazon RDS Proxy,Lab,AWS,FALSE,Amazon RDS Proxy
DockerSwarm,Lab,Tools,FALSE,DockerSwarm
Oracle,Lab,Platforms,FALSE,Oracle
Sensu,Lab,Tools,FALSE,Sensu
PagerDuty,Lab,Tools,FALSE,PagerDuty
Datical,Lab,Tools,FALSE,Datical
Tasktop ,Lab,Tools,FALSE,Tasktop 
Librato,Lab,Tools,FALSE,Librato
Elasticsearch,Lab,Tools,FALSE,Elasticsearch
Splunk,Lab,Tools,FALSE,Splunk
SonarQube,Mature,Tools,FALSE,SonarQube
Nexus,Lab,Tools,FALSE,Nexus
GitLab,Lab,Tools,FALSE,GitLab
Teams,Expert,Platforms,FALSE,Teams
Slack,Expert,Platforms,FALSE,Slack
Raygun,Lab,Tools,FALSE,Raygun
Catchpoint,Lab,Tools,FALSE,Catchpoint
SignalFX,Lab,Tools,FALSE,SignalFX
Selenium,Lab,Tools,FALSE,Selenium
Gremlin,Lab,Tools,FALSE,Gremlin
Jmeter,Lab,Tools,FALSE,Jmeter
ServiceNow,Lab,Platforms,FALSE,ServiceNow
Atlassian,Mature,Platforms,FALSE,Atlassian
Argo CD,Lab,Tools,FALSE,Argo CD
GitHub Actions,Lab,Tools,FALSE,GitHub Actions
GoCD,Lab,Tools,FALSE,GoCD
Gradle,Lab,Tools,FALSE,Gradle
Helm,Mature,Tools,FALSE,Helm
SaltStack,Lab,Tools,FALSE,SaltStack
CloudFormation,Lab,AWS,FALSE,CloudFormation
Maven,Lab,Tools,FALSE,Maven
Travis CI,Lab,Tools,FALSE,Travis CI
Bamboo CI,Lab,Tools,FALSE,Bamboo CI
OpenShift,Lab,Platforms,FALSE,OpenShift
Logz.io,Lab,Tools,FALSE,Logz.io
Kafka,Lab,Tools,FALSE,Kafka
Tableau,Lab,Platforms,FALSE,Tableau
Python,Mature,Tools,FALSE,Python
PHP,Mature,Platforms,FALSE,PHP
Apache,Lab,Platforms,FALSE,Apache
DataDog,Expert,Tools,FALSE,DataDog
Drupal,Lab,Tools,FALSE,Drupal
Zabbix,Lab,Tools,FALSE,Zabbix
